OA020O,PMA_8047,Traker
OA011E,PMA_8026,CONSULTING - Debt Advisor
OA024,PMA_8024,Rural Consultancy
OA022,PMA_8025,Space consulting & Space Planning
OA019O,PMA_8038,Coordination Advisory
OA011O,NOT USED,NOT USED
OA011,PMA_8041,Investment
OA010,PMA_8037,Letting & Sales
OA023,PMA_8027,Residential Development & Planning
OA017,PMA_8028,Residential Retail Sales/ Residential Agency
OA021,PMA_8040,Valuation
OA005,PMA_8033,Holding
OA005O,NOT USED,NOT USED
OA006,PMA_8034,Holding International
OA069,PMA_8020,IM International
OA060,PMA_8021,Investment Management
OA041,PMA_8013,Residential Property Development
OA040,PMA_8015,Office Property Developement
OA045,PMA_8016,International Office Property Developement
OA015,PMA_8014,Residencial Property Sales
OA036,PMA_8011,Student Residences
OA037,PMA_8012,Tourist Residences
OA031,PMA_8018,Office Property Management - International
OA031O,PMA_8019,PDI
OA030,PMA_8017,Office Property & Facility Management
OA061,PMA_8022,Investment Services
OA061O,NOT USED,NOT USED
OA070O,PMA_8029,REOS International coordination (former GCS)
OA071O,PMA_8030,REOS Portfolio Management
OA072O,PMA_8031,REOS Professional Services
OA073O,PMA_8032,REOS Coverage 
OA050,NOT USED,NOT USED
OA016,PMA_8007,Sales to Investors & Institutional
