RU,OA,FA,ENTITE_defaut,lib_ENTITE,Source
G-DE,,,EJ_21902,BNPPRE Holding GmbH,defaut 1re EJ
G-DEPROMO,,,EJ_65631,BNP Paribas Real Estate Property Devlopment & Services,defaut 1re EJ
G-REIMI,,,EJ_65631,BNP Paribas Real Estate Property Devlopment & Services,defaut 1re EJ
G-REIMDE,,,EJ_58476,BNPP Real Estate Investment Management Germany GmbH,defaut 1re EJ
G-IR,,,EJ_42444,BNPPRE APM Ireland,defaut 1re EJ
G-ITAR,,,EJ_40711,BNPPRE Advisory Italy,defaut 1re EJ
G-ITBNL,,,EJ_41277,BNPP Real Estate Investment Management Italy SPA,defaut 1re EJ
G-ITMP,,,EJ_42089,BNPP REPD Italy,defaut 1re EJ
G-ITNAZCA,,,EJ_42445,BNPP REPM Italy,defaut 1re EJ
G-RESH,,,EJ_46520,BNP Paribas Real Estate Italy,defaut 1re EJ
G-LX,,,EJ_21912,BNPPRE APM Luxembourg,defaut 1re EJ
G-REIMLUX,,,EJ_47218,BNPP Real Estate Investment Management Luxembourg SA,defaut 1re EJ
G-NL,,,EJ_58073,BNPPRE Advisory Netherlands,defaut 1re EJ
G-POL,,,EJ_56392,BNPPRE APM Poland,defaut 1re EJ
G-PRTPROMO,,,EJ_66208,BNP Paribas Real Estate Portugal Unipessola LDA.,defaut 1re EJ
G-SGP,,,EJ_66206,BNP Pariabs Real Estate (Singapore) PTE LTD.,defaut 1re EJ
G-SP,,,EJ_21913,BNPPRE Spain,defaut 1re EJ
G-UK,,,EJ_21898,BNPPRE APM UK,defaut 1re EJ
G-UKPROMO,,,EJ_56785,BNPP REPD UK,defaut 1re EJ
