RU,Pays,Zone_compte
G-ASIEPF,Plateforme Asie,Pays
G-BE,Belgique,Pays
G-DE,Allemagne,Pays
G-DEPROMO,Allemagne,Pays
G-FRAR,France,France
G-FRMP,France,France
G-HDBNPPI,France,France
G-IR,Irlande,Pays
G-ITAR,Italie,Pays
G-ITBNL,Italie,Pays
G-ITMP,Italie,Pays
G-ITNAZCA,Italie,Pays
G-LX,Luxembourg,Pays
G-MEPF,Plateforme M-Orient,Pays
G-NL,Pays-Bas,Pays
G-POL,Pologne,Pays
G-PRTPROMO,Portugal,Pays
G-REIMDE,Allemagne,Pays
G-REIMI,Allemagne,Pays
G-REIMLUX,Luxembourg,Pays
G-RESH,Italie,Pays
G-SGP,Singapour,Pays
G-SP,Espagne,Pays
G-UK,UK,Pays
G-UKPROMO,UK,Pays
GT-BCESTE,Transversal,Pays
GT-TUT,Transversal,Pays
