ordre,section,flag,type,code_IND,libelle
0,P&L,1,element_fin,IND_00_070030,Share of earnings of equity method
1,P&L,0,node,IND_111111000,Share of equity method cons. Companies at social equity
2,P&L,1,element_fin,IND_00_060029,MEE - Return on Net Equity
3,P&L,0,node,IND_111112000,Share of equity - Return on average actual equity
4,P&L,1,element_fin,IND_00_070028,Share of equity method cons. Companies - PPA linear depreciation
5,P&L,1,element_fin,IND_00_070029,Share of equity method cons. Companies - PPA accelerated depreciation
6,P&L,0,node,IND_111113000,Share of equity method cons. Companies - PPA depreciation
7,P&L,0,node,IND_111110001,Share of equity method cons. Companies at zero equity
8,P&L,1,element_fin,IND_00_070021,Share of equity - Return of notional equity
9,P&L,0,node,IND_111114000,Share of equity - Return on Notional Equity
10,P&L,1,element_fin,IND_00_060030,Share of equity - Subordination cost unallocated
11,P&L,1,element_fin,IND_00_060031,Share of equity - TLAC cost
12,P&L,1,element_fin,IND_00_060056,Share of equity - Subordination cost - Additional Tier 1
13,P&L,1,element_fin,IND_00_060057,Share of equity - Subordination cost - Tier 2
14,P&L,0,node,IND_111115000,Share of equity - Subordination cost + TLAC
15,P&L,1,element_fin,IND_00_079905,Adjustment FP MEE (Do not use)
16,P&L,0,node,IND_111116000,FP MEE (Do no use)
17,P&L,0,node,IND_111110000,Share of equity method cons. Companies based on RWA
18,P&L,1,element_fin,IND_00_070070,Changes in value of goodwill (IAS)
19,P&L,0,node,IND_111121000,Change in value of goodwill
20,P&L,1,element_fin,IND_00_070071,Exceptional & miscellaneous items (Total)
21,P&L,1,element_fin,IND_00_070072,Exceptional items - ALMT split
22,P&L,0,node,IND_111122000,Exceptional & miscellaneous items (Total)
23,P&L,1,element_fin,IND_00_070073,Other NON-operating income/expenses (IAS)
24,P&L,0,node,IND_111123000,Other NON-operating income/expenses (IAS)
25,P&L,1,element_fin,IND_00_070074,Other NON-operating income/expenses - ALMT split
26,P&L,0,node,IND_111124000,Other NON-operating income/expenses - ALMT split
27,P&L,1,element_fin,IND_00_070075,Gain/loss on disposal of LT portf. Sec. & part. int.
28,P&L,1,element_fin,IND_00_070076,Change in provisions for LT portf. Sec. & part. int.
29,P&L,1,element_fin,IND_00_070077,Reversal of provisions on disposal of LT portf. Sec. & part. int.
30,P&L,1,element_fin,IND_00_070078,Net gains on other assets (IAS)
31,P&L,1,element_fin,IND_00_070079,Gain/loss on disposal of PP&E and intangibles
32,P&L,1,element_fin,IND_00_070080,Gain/loss on non-current assets_Unallocated
33,P&L,0,node,IND_111125000,Gain/loss on NON-current assets
34,P&L,1,element_fin,IND_00_070011,Other Non-operating income/expenses (incl. Exceptional) - (Unallocated)
35,P&L,0,node,IND_111126000,Other NON-operating income/expenses - (Unallcoated)
36,P&L,1,element_fin,IND_00_079909,Ajustement FP ARHE W/o GW et PMV on divestiture (Do not use)
37,P&L,1,element_fin,IND_00_079915,Adjustment FP Goodwill (Do not use)
38,P&L,0,node,IND_111127000,FP ARHE (Do not use)
39,P&L,0,node,IND_111120000,Other NON-operating income/expenses (Total)
40,P&L,1,element_fin,IND_00_070008,Capital Value Added
41,P&L,1,element_fin,IND_00_070100,ALMT revenues / VAC proxy
42,P&L,1,element_fin,IND_00_070107,VAC – Unallocated Hold (Forecast)
43,P&L,0,node,IND_1111321111,VAC
44,P&L,1,element_fin,IND_26_070001,Arbitration fees
45,P&L,1,element_fin,IND_26_070022,Fee sharing Secondary Market
46,P&L,1,element_fin,IND_26_070027,Other financial commission income - other
47,P&L,0,node,IND_00_070003,Other financial commission income
48,P&L,1,element_fin,IND_00_070001,Management commissions
49,P&L,1,element_fin,IND_00_070002,Transaction fees
50,P&L,1,element_fin,IND_00_070004,Entry fees
51,P&L,1,element_fin,IND_00_070005,Administration fees
52,P&L,1,element_fin,IND_00_070006,Custody fees
53,P&L,0,node,IND_11113211121,Financial commission
54,P&L,1,element_fin,IND_26_070002,Business Provider Fees
55,P&L,1,element_fin,IND_26_070006,Consulting Fees
56,P&L,1,element_fin,IND_26_070008,Management fees
57,P&L,1,element_fin,IND_26_070010,Other Fees
58,P&L,1,element_fin,IND_26_070012,Other rents cancelled for IFRS16 compliant reporting (+)
59,P&L,1,element_fin,IND_26_070014,Real Estate Fees
60,P&L,1,element_fin,IND_26_070015,Rental Fees
61,P&L,1,element_fin,IND_26_070016,Sales Fees
62,P&L,1,element_fin,IND_26_070018,Technical Fees
63,P&L,1,element_fin,IND_26_070019,Trustee's fees
64,P&L,1,element_fin,IND_26_070020,Work Fees
65,P&L,1,element_fin,IND_26_070026,Non-financial Commissions (other)
66,P&L,0,node,IND_00_070007,Non-financial Commissions
67,P&L,0,node,IND_11113211122,Non-financial commission
68,P&L,1,element_fin,IND_00_070084,Commissions Insurance - Net gains of insurance
69,P&L,0,node,IND_1111321112,Commissions
70,P&L,1,element_fin,IND_00_070015,Dividend and gains and losses on non consolidated securities (AFS) / FV OCIE
71,P&L,0,node,IND_11113211131,Dividend and gains and losses on non consolidated securities (AFS) / FV OCIE
72,P&L,1,element_fin,IND_00_070061,Dividend on HFT / FV PL
73,P&L,1,element_fin,IND_00_070062,Other income on HFT / FV PL
74,P&L,0,node,IND_11113211132,Dividend and gains and losses FV PL
75,P&L,1,element_fin,IND_00_060018,Other operating expenses
76,P&L,1,element_fin,IND_00_070017,Other operating income
77,P&L,0,node,IND_11113211133,Other banking income/expense
78,P&L,1,element_fin,IND_00_070065,Net gains of insurance activities
79,P&L,0,node,IND_11113211134,Net gains of insurance activities
80,P&L,1,element_fin,IND_00_070066,Gains/losses from derecognition of AC financial assets
81,P&L,1,element_fin,IND_00_070067,Gains/losses from reclassification of FVOCI instruments into FVPL
82,P&L,1,element_fin,IND_00_070068,Gains/losses from reclassification of AC instruments into FVPL
83,P&L,0,node,IND_11113211135,Gains/losses from reclassification
84,P&L,1,element_fin,IND_26_070003,Commercial advertising Fees
85,P&L,1,element_fin,IND_26_070004,Commercial Litigations
86,P&L,1,element_fin,IND_26_070005,Consolidated Margin
87,P&L,1,element_fin,IND_26_070007,Fee Sharing Outflow
88,P&L,1,element_fin,IND_26_070009,Margin
89,P&L,1,element_fin,IND_26_070011,Other income + Other costs
90,P&L,1,element_fin,IND_26_070013,Other Sub-contracting
91,P&L,1,element_fin,IND_26_070017,Study Fees
92,P&L,1,element_fin,IND_26_070021,Fee Sharing Outflow Secondary Market
93,P&L,1,element_fin,IND_26_070023,Fee Sharing Outflow Administration SCPI Residential
94,P&L,1,element_fin,IND_26_070024,Fee Sharing Outflow Administration SCPI REPM
95,P&L,0,node,IND_00_070010,Other NBI - Unallocated
96,P&L,0,node,IND_11113211136,Other NBI - Unallocated
97,P&L,1,element_fin,IND_00_060311,Coût du risque de crédit sur les placements financiers des activités d'assurance
98,P&L,1,element_fin,IND_00_070098,HFT
99,P&L,1,element_fin,IND_00_070099,PVO
100,P&L,1,element_fin,IND_00_070101,Other NBI - Effort to build
101,P&L,0,node,IND_1111321113,Other NBI
102,P&L,1,element_fin,IND_00_070026,NBI - PPA linear depreciation
103,P&L,1,element_fin,IND_00_070027,NBI - PPA accelerated depreciation
104,P&L,0,node,IND_1111321114,PNB - Amortissement PPA
105,P&L,0,node,IND_111132111,Net banking income
106,P&L,1,element_fin,IND_00_060033,Return on Net Equity
107,P&L,0,node,IND_111132112,Return on average actual equity
108,P&L,0,node,IND_111132110,NBI at zero equity
109,P&L,1,element_fin,IND_00_070018,Return on notional equity
110,P&L,0,node,IND_111132120,Return on Notional equity
111,P&L,1,element_fin,IND_00_060012,Subordination costs - Unventilated
112,P&L,1,element_fin,IND_00_060019,TLAC cost
113,P&L,1,element_fin,IND_00_060048,Subordination cost - Additional Tier 1
114,P&L,1,element_fin,IND_00_060049,Subordination cost - Tier 2
115,P&L,0,node,IND_111132130,Subordination cost + TLAC
116,P&L,1,element_fin,IND_00_069902,Adjustment FP interest exp (Do not use)
117,P&L,1,element_fin,IND_00_079902,Ajustement FP dividend income (Do not use)
118,P&L,1,element_fin,IND_00_079903,Adjustment FP commission expense (Do not use)
119,P&L,1,element_fin,IND_00_079904,Adjustment FP Other NBI (Do not use)
120,P&L,1,element_fin,IND_00_079907,Adjustment FP  Interest income (Do not use)
121,P&L,1,element_fin,IND_00_079910,Adjustment FP Other operating income (Do not use)
122,P&L,1,element_fin,IND_00_079911,Adjustment FP Other operating expenses (Do not use)
123,P&L,1,element_fin,IND_00_079918,Adjustment FP produit de commissions (Do not use)
124,P&L,1,element_fin,IND_00_079919,Ajustement FP Autres revenus de trading  (Do not use)
125,P&L,0,node,IND_111132140,FP PNB (Do no use)
126,P&L,0,node,IND_111132100,NBI based on RWA
127,P&L,1,element_fin,IND_00_079908,Adjustment FP Depreciation (Do not use)
128,P&L,1,element_fin,IND_00_079912,Adjustment FP Staff costs (Do not use)
129,P&L,1,element_fin,IND_00_079913,Adjustment FP Other admin expenses (Do not use)
130,P&L,0,node,IND_111132250,FP FG (Do no use)
131,P&L,1,element_fin,IND_26_060014,Entertainment
132,P&L,1,element_fin,IND_26_060037,Travel
133,P&L,1,element_fin,IND_26_060055,"Transport, Travel & Entertainment - country"
134,P&L,0,node,IND_00_060094,"Transport, Travel & Entertainment"
135,P&L,1,element_fin,IND_26_060018,Profit-Sharing bonus
136,P&L,1,element_fin,IND_26_060031,Profit Sharing
137,P&L,1,element_fin,IND_26_060050,Profit sharing inc. Charges - country
138,P&L,0,node,IND_00_060077,Profit sharing inc. Charges
139,P&L,1,element_fin,IND_26_060004,Attendance fees
140,P&L,1,element_fin,IND_26_060005,Retirement payments
141,P&L,1,element_fin,IND_26_060023,Occupational health
142,P&L,1,element_fin,IND_26_060025,Other Benefits
143,P&L,1,element_fin,IND_26_060040,Vehicles
144,P&L,1,element_fin,IND_26_060042,Worker's Committee (CSE)
145,P&L,1,element_fin,IND_26_060048,Benefits & Retirement payments - country
146,P&L,1,element_fin,IND_26_060072,Vehicles - IFRS
147,P&L,0,node,IND_00_060078,Benefits & Retirement payments
148,P&L,1,element_fin,IND_26_060008,Charges on bonus cash (prov of the year)
149,P&L,1,element_fin,IND_26_060009,Charges on Fixed salaries
150,P&L,1,element_fin,IND_26_060010,Charges on variable salaries
151,P&L,1,element_fin,IND_26_060047,Social Charges - country
152,P&L,0,node,IND_00_060074,Social Charges
153,P&L,1,element_fin,IND_26_060015,Exceptional incentives
154,P&L,1,element_fin,IND_26_060016,Fixed Salaries
155,P&L,1,element_fin,IND_26_060029,Paid on holidays (incl. Charges)
156,P&L,1,element_fin,IND_26_060049,Fixed remuneration - country
157,P&L,0,node,IND_00_060020,Fixed remuneration
158,P&L,1,element_fin,IND_26_060006,Bonus Cash (Prov of the year)
159,P&L,1,element_fin,IND_26_060012,Deferred Bonus - DCS Shares (prov of the year)
160,P&L,1,element_fin,IND_26_060019,LTIS
161,P&L,1,element_fin,IND_26_060038,Variable salaries linked to Profitability
162,P&L,1,element_fin,IND_26_060039,Variable salaries linked to Result
163,P&L,0,node,IND_00_060071,Provision bonus n
164,P&L,1,element_fin,IND_00_060072,Provision bonus n-prior years adjustments
165,P&L,0,node,IND_11113221132,Variable remuneration - bonus
166,P&L,1,element_fin,IND_00_060073,Other remuneration
167,P&L,0,node,IND_11113221131,Total remuneration
168,P&L,0,node,IND_1111322113,Salaries incl. charges
169,P&L,1,element_fin,IND_00_060011,Staff costs - Unallocated
170,P&L,1,element_fin,IND_00_060225,Training
171,P&L,1,element_fin,IND_00_060279,Recruitment
172,P&L,0,node,IND_1111322114,Other Staff Costs
173,P&L,1,element_fin,IND_00_060075,Detached staff
174,P&L,1,element_fin,IND_00_060076,Capitalized staff costs
175,P&L,1,element_fin,IND_00_060079,Severance
176,P&L,1,element_fin,IND_00_060080,Temporary
177,P&L,0,node,IND_111132211,Staff costs
178,P&L,1,element_fin,IND_26_060003,Archive & Storage
179,P&L,1,element_fin,IND_26_060013,Documentation and subscriptions
180,P&L,1,element_fin,IND_26_060017,Headquarters Fees invoice
181,P&L,1,element_fin,IND_26_060022,Moving fees
182,P&L,1,element_fin,IND_26_060026,Other misc. Expenses
183,P&L,1,element_fin,IND_26_060030,Printings
184,P&L,1,element_fin,IND_26_060043,Office Expenses
185,P&L,1,element_fin,IND_26_060056,Other direct costs - country
186,P&L,0,node,IND_00_060009,Other direct costs
187,P&L,1,element_fin,IND_00_060119,Insurance
188,P&L,1,element_fin,IND_00_060120,Postage
189,P&L,1,element_fin,IND_00_060121,Other Depreciation
190,P&L,1,element_fin,IND_00_060246,Efforts non allocated (budget & forecast)
191,P&L,1,element_fin,IND_00_060249,Other rebilling sent
192,P&L,1,element_fin,IND_00_060250,Other rebilling received
193,P&L,0,node,IND_111132213,Other direct operating expenses
194,P&L,1,element_fin,IND_00_060051,Direct operating expenses - PPA linear depreciation
195,P&L,1,element_fin,IND_00_060052,Direct operating expenses - PPA accelerated depreciation
196,P&L,0,node,IND_111132214,Direct operating expenses - PPA depreciation
197,P&L,1,element_fin,IND_00_060081,IT contractors
198,P&L,1,element_fin,IND_00_060082,Non-IT contractors
199,P&L,1,element_fin,IND_00_060083,Capitalized contractors costs
200,P&L,1,element_fin,IND_00_060084,BNPP Consulting*
201,P&L,1,element_fin,IND_00_060085,Other contractors
202,P&L,1,element_fin,IND_00_060329,Time-based fees contractors - Non IT
203,P&L,1,element_fin,IND_00_060330,Time-based fees contractors - IT
204,P&L,0,node,IND_1111322151,Contractors
205,P&L,1,element_fin,IND_26_060075,Other Fees - advisory
206,P&L,1,element_fin,IND_26_060044,Other Fees - finance
207,P&L,1,element_fin,IND_26_060076,Other Fees - EMC External Consultants
208,P&L,1,element_fin,IND_26_060077,Other Fees - unallocated
209,P&L,0,node,IND_00_060087,Other Fees
210,P&L,1,element_fin,IND_00_060086,Fees - legal
211,P&L,1,element_fin,IND_00_060168,Recruitment fees
212,P&L,0,node,IND_1111322152,Fees
213,P&L,1,element_fin,IND_00_060089,Outsourcing IT (excl rebilling)
214,P&L,1,element_fin,IND_00_060253,Outsourcing IT - Internal rebilling sent
215,P&L,1,element_fin,IND_00_060254,Outsourcing IT - Internal rebilling received
216,P&L,0,node,IND_1111322153,Outsourcing IT
217,P&L,1,element_fin,IND_00_060088,Outsourcing (excl. IT & excl rebilling)
218,P&L,1,element_fin,IND_00_060255,Outsourcing (excl. IT) - Internal rebilling sent
219,P&L,1,element_fin,IND_00_060256,Outsourcing (excl. IT) - Internal rebilling received
220,P&L,0,node,IND_1111322154,Outsourcing (excl. IT)
221,P&L,1,element_fin,IND_00_060090,Other service providers
222,P&L,1,element_fin,IND_00_060252,Mark up on internal rebilling received
223,P&L,1,element_fin,IND_00_060282,Mark up on internal rebilling sent
224,P&L,1,element_fin,IND_00_060283,Capitalized outsourcing
225,P&L,1,element_fin,IND_00_060332,Interco CIB Net
226,P&L,1,element_fin,IND_00_060363,Mark up on internal rebilling received - Calculated
227,P&L,0,node,IND_1111322155,Outsourcing
228,P&L,0,node,IND_111132215,Service providers and outsourcing
229,P&L,1,element_fin,IND_00_060091,Marketing
230,P&L,1,element_fin,IND_00_060092,Communication
231,P&L,1,element_fin,IND_00_060093,Other marketing and communication
232,P&L,0,node,IND_111132216,Marketing and Communication Costs
233,P&L,1,element_fin,IND_26_060045,Telecom
234,P&L,1,element_fin,IND_26_060073,"Other IT, Telecom & Data - unallocated"
235,P&L,0,node,IND_00_060103,"Other IT, Telecom & Data"
236,P&L,1,element_fin,IND_26_060032,Rent & Maintenance for IT material
237,P&L,1,element_fin,IND_26_060036,Small hardware
238,P&L,1,element_fin,IND_26_060052,Hardware (non depr.) - country
239,P&L,0,node,IND_00_060095,Hardware (non depr.)
240,P&L,1,element_fin,IND_26_060021,Maintenance Software
241,P&L,1,element_fin,IND_26_060035,Rents Software
242,P&L,1,element_fin,IND_26_060051,Software (non depr.) - country
243,P&L,0,node,IND_00_060096,Software (non depr.)
244,P&L,1,element_fin,IND_26_060001,Amortisation on created software current
245,P&L,1,element_fin,IND_26_060002,Amortisation on new Software current
246,P&L,1,element_fin,IND_26_060053,Software depreciation - country
247,P&L,0,node,IND_00_060098,Software depreciation
248,P&L,1,element_fin,IND_00_060097,Hardware depreciation
249,P&L,1,element_fin,IND_00_060099,Other depreciation IT
250,P&L,0,node,IND_11113221711,Depreciation IT
251,P&L,1,element_fin,IND_00_060100,Other IT costs
252,P&L,1,element_fin,IND_00_060353,Capitalized Hardware
253,P&L,1,element_fin,IND_00_060354,Capitalized Software
254,P&L,1,element_fin,IND_00_060355,Capitalized Other IT
255,P&L,0,node,IND_1111322171,IT Costs
256,P&L,1,element_fin,IND_00_060101,Telecom Costs
257,P&L,1,element_fin,IND_00_060102,Data
258,P&L,0,node,IND_111132217,"IT, Telecom & Data"
259,P&L,1,element_fin,IND_26_060020,Maintenance fees
260,P&L,1,element_fin,IND_26_060027,Other real estate costs
261,P&L,1,element_fin,IND_26_060033,Rents
262,P&L,1,element_fin,IND_26_060034,Rents Charges
263,P&L,1,element_fin,IND_26_060054,Others Rents (Not IFRS16) - country
264,P&L,0,node,IND_00_060106,Other Rent  (Not IFRS16)
265,P&L,1,element_fin,IND_00_060104,Total Real Estate rent IFRS 16
266,P&L,1,element_fin,IND_00_060105,IFRS 16 Depreciation Real Estate
